dataset_preset,target_label_name,delta_recovered_valid_rate,delta_reactivated_fraction,delta_act_drift_l2,delta_decode_drift_l2,delta_zero_reactivation_rate
amazon_reviews,Cell_Phones_and_Accessories,-0.12610619469026552,-0.0105071417097233,-0.0104014630098744,-0.010690947342844297,0.7212389380530974
amazon_reviews,Electronics,-0.03729603729603714,-0.0137671943903751,-0.016289610549513698,-0.0171081391401971,0.682983682983683
amazon_reviews,Industrial_and_Scientific,-0.02392344497607668,-0.0126020106621773,-0.017956073616345,-0.0184189079786956,0.5095693779904307
amazon_reviews,Musical_Instruments,-0.04514672686230259,-0.012336214357339498,-0.017702675303699098,-0.018379181773379702,0.4040632054176073
amazon_reviews,Toys_and_Games,-0.042079207920792006,-0.015604526646513699,-0.0253907338873711,-0.026782683405081695,0.47524752475247534
bias_in_bios_set1,accountant,-0.027956989247311936,-0.008529697957458698,8.782544135739478e-05,0.0004097860314011964,0.6301075268817204
bias_in_bios_set1,architect,-0.051224944320712784,-0.012502373613620398,-0.008309332089823304,-0.008144997297537301,0.5011135857461025
bias_in_bios_set1,attorney,-0.07264957264957272,-0.011304997351482299,-0.0175414228538607,-0.0184443230516166,0.5192307692307693
bias_in_bios_set1,dentist,-0.11570247933884303,-0.0086862354319011,-0.9109307657003649,-0.910838607898798,0.6756198347107438
bias_in_bios_set1,filmmaker,-0.11934156378600824,-0.0079917515950936,-0.005121222453588599,-0.004948779244269105,0.6111111111111112
bias_in_bios_set2,journalist,-0.023454157782516027,-0.007618752231241599,-0.0079241104573925,-0.0084027399362719,0.4498933901918977
bias_in_bios_set2,nurse,-0.0563063063063064,-0.0075495944312261995,-0.0021864575617589962,-0.0017894347740268005,0.6148648648648649
bias_in_bios_set2,painter,-0.08823529411764708,-0.014962577465491199,-0.008055117325989299,-0.007914889427273704,0.7142857142857143
bias_in_bios_set2,photographer,-0.03263403263403286,-0.014053790666171698,-0.0162515986763635,-0.016942576867243903,0.5571095571095571
bias_in_bios_set2,physician,-0.0880503144654089,-0.004359316781741099,0.0023790621646254013,0.0022546505683396986,0.4800838574423481
bias_in_bios_set3,poet,-0.10855949895615868,-0.0109827771052788,-0.006703549004665299,-0.006459750189389504,0.6346555323590815
bias_in_bios_set3,professor,-0.1602564102564103,-0.008459734413514101,-0.009365784091890903,-0.0095080456328113,0.7094017094017093
bias_in_bios_set3,psychologist,-0.11555555555555552,-0.0117201071134251,-0.016546462910418003,-0.0172373331015762,0.648888888888889
bias_in_bios_set3,surgeon,-0.061702127659574446,-0.006757432261997101,-0.007409929111352201,-0.0074767573476531984,0.5191489361702127
bias_in_bios_set3,teacher,-0.005012531328320802,-0.015505083978997799,-0.0136282564118099,-0.0147433060582874,0.5012531328320802
