source,metric,k,n,estimate,wilson_low,wilson_high,mean,bootstrap_low,bootstrap_high
AdvBench strict-valid Jacobian,nonrefusal_recovery,23,24,0.9583333333333334,0.7975819352134406,0.9926065438344942,,,
AdvBench strict-valid Jacobian,base_like_recovery,15,24,0.625,0.42709962442674276,0.7884063244045122,,,
AdvBench strict-valid Jacobian,strict_base_like_recovery,12,24,0.5,0.3142742581957335,0.6857257418042665,,,
AdvBench strict-valid Jacobian,defended_feature_drift_relative_l2,,,,,,0.13071201656635983,0.06484317299997633,0.22276263224744564
AdvBench strict-valid Jacobian,floor_violation_relative_l2,,,,,,0.1269026508964778,0.06047092624064343,0.21955251010480387
AdvBench strict-valid Jacobian,delta_norm_relative_to_defended_feature_state,,,,,,0.153279718247788,0.10013721400541506,0.21042328539135705
HarmBench-Test strict-valid Jacobian,nonrefusal_recovery,43,43,1.0,0.9179901967742088,1.0,,,
HarmBench-Test strict-valid Jacobian,base_like_recovery,19,43,0.4418604651162791,0.30433309839170514,0.5889238554717591,,,
Feature-size sweep K=1,nonrefusal_recovery,5,5,1.0,0.5655175352168251,1.0,,,
Feature-size sweep K=1,base_like_recovery,4,5,0.8,0.37553462976252533,0.9637758913675698,,,
Feature-size sweep K=2,nonrefusal_recovery,5,5,1.0,0.5655175352168251,1.0,,,
Feature-size sweep K=2,base_like_recovery,4,5,0.8,0.37553462976252533,0.9637758913675698,,,
Feature-size sweep K=3,nonrefusal_recovery,5,5,1.0,0.5655175352168251,1.0,,,
Feature-size sweep K=3,base_like_recovery,4,5,0.8,0.37553462976252533,0.9637758913675698,,,
Feature-size sweep K=5,nonrefusal_recovery,16,17,0.9411764705882353,0.7301796936242461,0.9895395990150025,,,
Feature-size sweep K=5,base_like_recovery,15,17,0.8823529411764706,0.6566364940511412,0.9671202262362074,,,
Feature-size sweep K=8,nonrefusal_recovery,30,30,1.0,0.8864866068260312,0.9999999999999999,,,
Feature-size sweep K=8,base_like_recovery,23,30,0.7666666666666667,0.5907167384187784,0.8820761185551049,,,
Feature-size sweep K=10,nonrefusal_recovery,36,36,1.0,0.9035813714055363,1.0,,,
Feature-size sweep K=10,base_like_recovery,27,36,0.75,0.5892954623327166,0.8624952233700517,,,
Feature-size sweep K=15,nonrefusal_recovery,45,45,1.0,0.9213484012671117,1.0,,,
Feature-size sweep K=15,base_like_recovery,34,45,0.7555555555555555,0.6132661994297965,0.8576452056622828,,,
Feature-size sweep K=20,nonrefusal_recovery,42,45,0.9333333333333333,0.8214339803640811,0.977067967400749,,,
Feature-size sweep K=20,base_like_recovery,31,45,0.6888888888888889,0.5433519442263318,0.804713007363466,,,
Feature-size sweep K=30,nonrefusal_recovery,58,59,0.9830508474576272,0.9100427403585771,0.9970017660816444,,,
Feature-size sweep K=30,base_like_recovery,28,59,0.4745762711864407,0.35265876715068556,0.5996020482998292,,,
Feature-size sweep K=40,nonrefusal_recovery,61,62,0.9838709677419355,0.9141327973931,0.9971471328313782,,,
Feature-size sweep K=40,base_like_recovery,23,62,0.3709677419354839,0.26157165984141106,0.4954203587653947,,,
Feature-size sweep K=50,nonrefusal_recovery,64,64,1.0,0.9433759402071946,1.0,,,
Feature-size sweep K=50,base_like_recovery,20,64,0.3125,0.21231066539482046,0.4339233570274815,,,
Feature-size sweep K=61,nonrefusal_recovery,64,64,1.0,0.9433759402071946,1.0,,,
Feature-size sweep K=61,base_like_recovery,8,64,0.125,0.06472242663330453,0.22774561821129946,,,
Recovery-path attribution original_recovered,nonrefusal_recovery,23,24,0.9583333333333334,0.7975819352134406,0.9926065438344942,,,
Recovery-path attribution original_recovered,base_like_recovery,16,24,0.6666666666666666,0.4670631683813174,0.8202780967270225,,,
Recovery-path attribution full_delta_replay,nonrefusal_recovery,23,24,0.9583333333333334,0.7975819352134406,0.9926065438344942,,,
Recovery-path attribution full_delta_replay,base_like_recovery,16,24,0.6666666666666666,0.4670631683813174,0.8202780967270225,,,
Recovery-path attribution nonclamped_feature_replay,nonrefusal_recovery,2,24,0.08333333333333333,0.023158815297043306,0.25848802193210685,,,
Recovery-path attribution nonclamped_feature_replay,base_like_recovery,1,24,0.041666666666666664,0.0073934561655057685,0.20241806478655938,,,
Recovery-path attribution residual_replay,nonrefusal_recovery,23,24,0.9583333333333334,0.7975819352134406,0.9926065438344942,,,
Recovery-path attribution residual_replay,base_like_recovery,14,24,0.5833333333333334,0.3883466586522876,0.7553239739018824,,,
Recovery-path attribution clamped_feature_replay,nonrefusal_recovery,0,24,0.0,1.3877787807814457e-17,0.13797620467498017,,,
Recovery-path attribution clamped_feature_replay,base_like_recovery,0,24,0.0,1.3877787807814457e-17,0.13797620467498017,,,
Recovery-path attribution topk_nonclamped_feature_replay,nonrefusal_recovery,1,24,0.041666666666666664,0.0073934561655057685,0.20241806478655938,,,
Recovery-path attribution topk_nonclamped_feature_replay,base_like_recovery,0,24,0.0,1.3877787807814457e-17,0.13797620467498017,,,
Recovery-path attribution topk_nonclamped_feature_knockout,nonrefusal_recovery,21,24,0.875,0.6899611872949993,0.9565566591987655,,,
Recovery-path attribution topk_nonclamped_feature_knockout,base_like_recovery,14,24,0.5833333333333334,0.3883466586522876,0.7553239739018824,,,
WMDP-Bio posthoc OABD,choice_recovery,72,91,0.7912087912087912,0.6967681450525728,0.862059193318519,,,
WMDP-Bio posthoc Encoder,choice_recovery,90,91,0.989010989010989,0.9403506433134939,0.9980575286681509,,,
WMDP-Bio posthoc None,choice_recovery,91,91,1.0,0.9594959960711198,1.0,,,
